2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/faculty-staff-gateway/
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics/
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/research/
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/12/neurodiversity-human-evolution-research
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/12/science-medicine-engineering-innovations-space-medical-breakthroughs
2025-12-27 18:59:45 | INFO     | __main__:crawl_website:86 - [2/20] 爬取URL (深度1): https://www.stanford.edu/faculty-staff-gateway/
2025-12-27 18:59:45 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/faculty-staff-gateway/ (尝试 1/3)
2025-12-27 18:59:49 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/faculty-staff-gateway/ (大小: 142768 字节)
2025-12-27 18:59:51 | DEBUG    | content_processor:_extract_links:233 - 提取了 132 个唯一链接
2025-12-27 18:59:51 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 7198, 链接数: 132
2025-12-27 18:59:51 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:59:52 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.90)
2025-12-27 18:59:52 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:59:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/
2025-12-27 18:59:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards
2025-12-27 18:59:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://stanfordcareers.stanford.edu/explore-careers
2025-12-27 18:59:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://fingate.stanford.edu/staff/resources/training_cat.html
2025-12-27 18:59:54 | INFO     | __main__:crawl_website:86 - [3/20] 爬取URL (深度1): https://www.stanford.edu/academics/
2025-12-27 18:59:54 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/academics/ (尝试 1/3)
2025-12-27 18:59:59 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/academics/ (大小: 119314 字节)
2025-12-27 19:00:00 | DEBUG    | content_processor:_extract_links:233 - 提取了 68 个唯一链接
2025-12-27 19:00:00 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 1854, 链接数: 68
2025-12-27 19:00:00 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:02 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 1.00)
2025-12-27 19:00:02 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:04 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics/schools/
2025-12-27 19:00:04 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/admission/
2025-12-27 19:00:04 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/about/
2025-12-27 19:00:04 | INFO     | __main__:crawl_website:86 - [4/20] 爬取URL (深度1): https://www.stanford.edu/research/
2025-12-27 19:00:04 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/research/ (尝试 1/3)
2025-12-27 19:00:08 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/research/ (大小: 128229 字节)
2025-12-27 19:00:09 | DEBUG    | content_processor:_extract_links:233 - 提取了 68 个唯一链接
2025-12-27 19:00:09 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 966, 链接数: 68
2025-12-27 19:00:09 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:10 | INFO     | __main__:crawl_website:107 - 页面分类: research (置信度: 1.00)
2025-12-27 19:00:10 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:20 | SUCCESS  | __main__:crawl_website:127 - 成功提取核心信息: 世界领先的斯坦福大学研究生态系统支持着一个长期的合作关系，为大学和联邦政府提供大量的项目，这些项目在各个领域中驱动发现。
2025-12-27 19:00:20 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:25 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/02/generative-ai-tool-marks-a-milestone-in-biology-and-accelerates-the-future-of-life-sciences
2025-12-27 19:00:25 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/03/food-research-stanford-sustainability-agriculture-aquaculture
2025-12-27 19:00:25 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/05/cellular-recycling-centers-neurodegenerative-diseases
2025-12-27 19:00:25 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/06/quantum-computing-advances-in-the-age-of-big-data
2025-12-27 19:00:25 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/07/machine-learning-revolution
2025-12-27 19:00:25 | INFO     | __main__:crawl_website:86 - [5/20] 爬取URL (深度1): https://news.stanford.edu/stories/2025/12/neurodiversity-human-evolution-research
2025-12-27 19:00:25 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://news.stanford.edu/stories/2025/12/neurodiversity-human-evolution-research (尝试 1/3)
2025-12-27 19:00:36 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://news.stanford.edu/stories/2025/12/neurodiversity-human-evolution-research (大小: 182903 字节)
2025-12-27 19:00:37 | DEBUG    | content_processor:_extract_links:233 - 提取了 85 个唯一链接
2025-12-27 19:00:37 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 5619, 链接数: 85
2025-12-27 19:00:37 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:39 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.90)
2025-12-27 19:00:39 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:42 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/health-and-medicine/neurodiversity-human-evolution-research
2025-12-27 19:00:42 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/science-and-engineering/biology
2025-12-27 19:00:42 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/science-and-engineering/neuroscience
2025-12-27 19:00:42 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://academic.oup.com/mbe/article/42/9/msaf189/8245036
2025-12-27 19:00:42 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/
2025-12-27 19:00:42 | INFO     | __main__:crawl_website:86 - [6/20] 爬取URL (深度1): https://news.stanford.edu/stories/2025/12/science-medicine-engineering-innovations-space-medical-breakthroughs
2025-12-27 19:00:42 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://news.stanford.edu/stories/2025/12/science-medicine-engineering-innovations-space-medical-breakthroughs (尝试 1/3)
2025-12-27 19:00:48 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://news.stanford.edu/stories/2025/12/science-medicine-engineering-innovations-space-medical-breakthroughs (大小: 187096 字节)
2025-12-27 19:00:50 | DEBUG    | content_processor:_extract_links:233 - 提取了 90 个唯一链接
2025-12-27 19:00:50 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 6073, 链接数: 90
2025-12-27 19:00:50 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:51 | INFO     | __main__:crawl_website:107 - 页面分类: news (置信度: 1.00)
2025-12-27 19:00:51 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:00:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship
2025-12-27 19:00:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/science-and-engineering
2025-12-27 19:00:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/health-and-medicine
2025-12-27 19:00:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/business
2025-12-27 19:00:54 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/research-and-scholarship/topic/arts-and-humanities
2025-12-27 19:00:54 | INFO     | __main__:crawl_website:86 - [7/20] 爬取URL (深度2): https://cardinalatwork.stanford.edu/
2025-12-27 19:00:54 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://cardinalatwork.stanford.edu/ (尝试 1/3)
2025-12-27 19:00:59 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://cardinalatwork.stanford.edu/ (大小: 193773 字节)
2025-12-27 19:01:02 | DEBUG    | content_processor:_extract_links:233 - 提取了 458 个唯一链接
2025-12-27 19:01:02 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 1429, 链接数: 458
2025-12-27 19:01:02 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:03 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 1.00)
2025-12-27 19:01:03 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:07 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/faculty-staff-benefits-overview
2025-12-27 19:01:07 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/manager-toolkit
2025-12-27 19:01:07 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/saving-retirement/prepare-retire/staff-retirement-checklist
2025-12-27 19:01:07 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/compensation/staff-compensation/pay-administration
2025-12-27 19:01:07 | INFO     | __main__:crawl_website:86 - [8/20] 爬取URL (深度2): https://cardinalatwork.stanford.edu/benefits-rewards
2025-12-27 19:01:07 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://cardinalatwork.stanford.edu/benefits-rewards (尝试 1/3)
2025-12-27 19:01:14 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://cardinalatwork.stanford.edu/benefits-rewards (大小: 228175 字节)
2025-12-27 19:01:15 | DEBUG    | content_processor:_extract_links:233 - 提取了 470 个唯一链接
2025-12-27 19:01:15 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 3956, 链接数: 470
2025-12-27 19:01:15 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:16 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 1.00)
2025-12-27 19:01:16 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:20 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/faculty-staff-benefits-overview
2025-12-27 19:01:20 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/saving-retirement/prepare-retire/staff-retirement-checklist
2025-12-27 19:01:20 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/compensation/staff-compensation/pay-administration
2025-12-27 19:01:20 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/compensation/staff-compensation/salary-structure
2025-12-27 19:01:20 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://cardinalatwork.stanford.edu/benefits-rewards/compensation/staff-compensation/job-descriptions
2025-12-27 19:01:20 | INFO     | __main__:crawl_website:86 - [9/20] 爬取URL (深度2): https://stanfordcareers.stanford.edu/explore-careers
2025-12-27 19:01:20 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://stanfordcareers.stanford.edu/explore-careers (尝试 1/3)
2025-12-27 19:01:33 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://stanfordcareers.stanford.edu/explore-careers (大小: 230234 字节)
2025-12-27 19:01:34 | DEBUG    | content_processor:_extract_links:233 - 提取了 50 个唯一链接
2025-12-27 19:01:34 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 417, 链接数: 50
2025-12-27 19:01:34 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:35 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.90)
2025-12-27 19:01:35 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:38 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://careersearch.stanford.edu/user/settings
2025-12-27 19:01:38 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://careersearch.stanford.edu/
2025-12-27 19:01:38 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://careersearch.stanford.edu/page/program-project-management-63
2025-12-27 19:01:38 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://careersearch.stanford.edu/page/health-services-59
2025-12-27 19:01:38 | INFO     | __main__:crawl_website:86 - [10/20] 爬取URL (深度2): https://fingate.stanford.edu/staff/resources/training_cat.html
2025-12-27 19:01:38 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://fingate.stanford.edu/staff/resources/training_cat.html (尝试 1/3)
2025-12-27 19:01:43 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://fingate.stanford.edu/staff/resources/training_cat.html (大小: 132418 字节)
2025-12-27 19:01:44 | DEBUG    | content_processor:_extract_links:233 - 提取了 228 个唯一链接
2025-12-27 19:01:44 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 7481, 链接数: 228
2025-12-27 19:01:44 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:46 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.90)
2025-12-27 19:01:46 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:49 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://fingate.stanford.edu/
2025-12-27 19:01:49 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://fingate.stanford.edu/authority/learning/learning-path-generator-lpg
2025-12-27 19:01:49 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://fingate.stanford.edu/account-structure/research-pta-details
2025-12-27 19:01:49 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://fingate.stanford.edu/fundamentals-0
2025-12-27 19:01:49 | INFO     | __main__:crawl_website:86 - [11/20] 爬取URL (深度2): https://www.stanford.edu/academics/schools/
2025-12-27 19:01:49 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/academics/schools/ (尝试 1/3)
2025-12-27 19:01:53 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/academics/schools/ (大小: 127141 字节)
2025-12-27 19:01:54 | DEBUG    | content_processor:_extract_links:233 - 提取了 96 个唯一链接
2025-12-27 19:01:54 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 502, 链接数: 96
2025-12-27 19:01:54 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:55 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.90)
2025-12-27 19:01:55 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:01:58 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.gsb.stanford.edu/program
2025-12-27 19:01:58 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.gsb.stanford.edu/research
2025-12-27 19:01:58 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.gsb.stanford.edu/faculty-research
2025-12-27 19:01:58 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.gsb.stanford.edu/research/
2025-12-27 19:01:58 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.gsb.stanford.edu/research/
2025-12-27 19:01:58 | INFO     | __main__:crawl_website:86 - [12/20] 爬取URL (深度2): https://www.stanford.edu/admission/
2025-12-27 19:01:58 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/admission/ (尝试 1/3)
2025-12-27 19:02:02 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/admission/ (大小: 119626 字节)
2025-12-27 19:02:03 | DEBUG    | content_processor:_extract_links:233 - 提取了 69 个唯一链接
2025-12-27 19:02:03 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 1765, 链接数: 69
2025-12-27 19:02:03 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:02:04 | INFO     | __main__:crawl_website:107 - 页面分类: admission (置信度: 1.00)
2025-12-27 19:02:04 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:02:06 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://admission.stanford.edu/
2025-12-27 19:02:06 | INFO     | __main__:crawl_website:86 - [13/20] 爬取URL (深度2): https://www.stanford.edu/about/
2025-12-27 19:02:06 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/about/ (尝试 1/3)
2025-12-27 19:02:11 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/about/ (大小: 129860 字节)
2025-12-27 19:02:12 | DEBUG    | content_processor:_extract_links:233 - 提取了 64 个唯一链接
2025-12-27 19:02:12 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 879, 链接数: 64
2025-12-27 19:02:12 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:02:14 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.90)
2025-12-27 19:02:14 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 19:02:16 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/list/research/
